course_code,course_title,credit_value,dept_description
ADA3MO,Dramatic Arts,1,Alternative Education
ALEP1B,ALEP SEM 1 - 2 CREDITS - OUT,2,Alternative Education
ALEP1K,ALEP SEM 1-1 CREDIT IN-SCHOOL,1,Alternative Education
ALEP1O,ALEP SEM 1 - 1 CREDIT OUT,1,Alternative Education
ALEP2B,ALEP SEM 2-2 CREDITS OUT,2,Alternative Education
ALEP2K,ALEP SEM 2-1 CREDIT IN SCHOOL,1,Alternative Education
ALEP2O,ALEP SEM 2 - 1 CREDIT OUT,1,Alternative Education
AMI1OA,Instrumental Music-Band,1,Alternative Education
ASM2OK,Media Arts,1,Alternative Education
AVI1OA,Visual Arts,1,Alternative Education
AVI2OA,Visual Arts,1,Alternative Education
AVI2OO,Visual Arts,1,Alternative Education
AWQ3MO,Visual Arts - Photography,1,Alternative Education
BAF3MB,Financial Accounting Fundamentals,2,Alternative Education
BBB4MA,International Business Fundamentals,1,Alternative Education
BBB4MK,International Business Fundamentals,1,Alternative Education
BBB4MO,International Business Fundamentals,1,Alternative Education
BBI2OK,Introduction to Business,1,Alternative Education
BDI3CA,Entrepreneurship:  The Venture,1,Alternative Education
BDI3CB,Entrepreneurship:  The Venture,2,Alternative Education
BMI3CK,Marketing,1,Alternative Education
BMI3CO,"Marketing:  Goods, Services, Events",1,Alternative Education
BOH4MB,Business Leadership:  Management Fu,2,Alternative Education
BOH4MK,Business Leadership:  Management Fu,1,Alternative Education
BOH4MO,Business Leadership:  Management Fu,1,Alternative Education
BTA3OK,Information and Communication Techn,1,Alternative Education
BTT1OA,Information and Communication Techn,1,Alternative Education
BTT1OK,Information and Communication Techn,1,Alternative Education
BTT1OO,Information and Communication Techn,1,Alternative Education
BTT2OK,Information and Communication Techn,1,Alternative Education
CGC1DA,Geography of Canada,1,Alternative Education
CGC1DK,Geography of Canada,1,Alternative Education
CGC1DO,Geography of Canada,1,Alternative Education
CGC1PA,Geography of Canada,1,Alternative Education
CGC1PB,Geography of Canada,2,Alternative Education
CGC1PK,Geography of Canada,1,Alternative Education
CGC1PO,Geography of Canada,1,Alternative Education
CGG3OA,Travel and Tourism:A Geographic Perspective,1,Alternative Education
CGG3OB,Travel and Tourism:A Geographic Perspective,2,Alternative Education
CGG3OO,Regional Geography:  Travel and Tou,1,Alternative Education
CGW4UK,World Issues:  A Geographic Analysi,1,Alternative Education
CHA3UB,America History,2,Alternative Education
CHA3UO,American History,1,Alternative Education
CHC2DA,Canadian History in the 20th Century,1,Alternative Education
CHC2DB,Canadian History in the 20th Century,2,Alternative Education
CHC2DK,Canadian History Since World War I,1,Alternative Education
CHC2DO,Canadian History in the 20th Century,1,Alternative Education
CHC2PA,Canadian History in the 20th Century,1,Alternative Education
CHC2PB,Canadian History in the 20th Century,2,Alternative Education
CHC2PK,Canadian History in the 20th Century,1,Alternative Education
CHC2PO,Canadian History in the 20th Century,1,Alternative Education
CHE3OA,Origins and Citizenship: The Histor,1,Alternative Education
CHT3OA,World History Since 1900:Global & Regional Interactions,1,Alternative Education
CHT3OK,World History Since 1900:Global & Regional Interactions,1,Alternative Education
CHV2OA,Civics and Citizenship,0.5,Alternative Education
CHV2OK,Civics and Citizenship,0.5,Alternative Education
CHW3MB,World History to the Fifteenth Century,2,Alternative Education
CHW3MK,World History to the Sixteenth Cent,1,Alternative Education
CHY4CK,World History: The West and the World,1,Alternative Education
CHY4UK,World History since the Fifteenth C,1,Alternative Education
DCO3OO,Creating Opportunities through Co-o,1,Alternative Education
EBT4OB,Communications in the World of Business,2,Alternative Education
EBT4OK,Communications in the World of Business,1,Alternative Education
EMS3OA,Media Studies,1,Alternative Education
EMS3OB,Media Studies,2,Alternative Education
EMS3OK,Media Studies,1,Alternative Education
EMS3OO,Media Studies,1,Alternative Education
ENG1DA,English,1,Alternative Education
ENG1DB,English,2,Alternative Education
ENG1DK,English,1,Alternative Education
ENG1DO,English,1,Alternative Education
ENG1PA,English,1,Alternative Education
ENG1PB,English,2,Alternative Education
ENG1PK,English,1,Alternative Education
ENG1PO,English,1,Alternative Education
ENG2DA,English,1,Alternative Education
ENG2DB,English,2,Alternative Education
ENG2DK,English,1,Alternative Education
ENG2DO,English,1,Alternative Education
ENG2PA,English,1,Alternative Education
ENG2PB,English,2,Alternative Education
ENG2PK,English,1,Alternative Education
ENG2PO,English,1,Alternative Education
ENG2PS,English,1,Alternative Education
ENG3CA,English,1,Alternative Education
ENG3CB,English,2,Alternative Education
ENG3CK,English,1,Alternative Education
ENG3CO,English,1,Alternative Education
ENG3EA,English,1,Alternative Education
ENG3EB,English,2,Alternative Education
ENG3EK,English,1,Alternative Education
ENG3EO,English,1,Alternative Education
ENG3UA,English,1,Alternative Education
ENG3UB,English,2,Alternative Education
ENG3UK,English,1,Alternative Education
ENG3UO,English,1,Alternative Education
ENG4CA,English,1,Alternative Education
ENG4CB,English,2,Alternative Education
ENG4CK,English,1,Alternative Education
ENG4CO,English,1,Alternative Education
ENG4EA,English,1,Alternative Education
ENG4EB,English,2,Alternative Education
ENG4EK,English,1,Alternative Education
ENG4EO,English,1,Alternative Education
ENG4UB,English,2,Alternative Education
ENG4UK,English,1,Alternative Education
ENG4UO,English,1,Alternative Education
ENG4US,English,1,Alternative Education
EWC4UA,The Writer's Craft,1,Alternative Education
EWC4UK,The Writer's Craft,1,Alternative Education
EWC4UO,The Writer's Craft,1,Alternative Education
GLC2OA,Career Studies,0.5,Alternative Education
GLC2OK,Career Studies,0.5,Alternative Education
GLC2OO,Career Studies,1,Alternative Education
GLD2OA,Discovering the Workplace,1,Alternative Education
GLD2OB,Discovering the Workplace,2,Alternative Education
GLD2OK,Discovering the Workplace,1,Alternative Education
GLD2OO,Discovering the Workplace,1,Alternative Education
GLN4OA,Navigating the Workplace,1,Alternative Education
GLN4OB,Navigating the Workplace,2,Alternative Education
GLN4OK,Navigating the Workplace,1,Alternative Education
GLN4OO,Navigating the Workplace,1,Alternative Education
GPP3OA,Leadership and Peer Support,1,Alternative Education
GPP3OK,Leadership and Peer Support,1,Alternative Education
GPP3OO,Leadership and Peer Support,1,Alternative Education
GWL3OA,Designing Your Future,1,Alternative Education
GWL3OB,Designing Your Future,2,Alternative Education
GWL3OK,Designing Your Future,1,Alternative Education
GWL3OO,Designing Your Future,1,Alternative Education
HFC3MK,Food and Culture,1,Alternative Education
HFN2OB,Food and Nutrition,2,Alternative Education
HFN2OO,Food and Nutrition,1,Alternative Education
HHD3OK,Dynamics of Human Relationships,1,Alternative Education
HHG4MB,Issues in Human Growth and Developm,2,Alternative Education
HHG4MK,Issues in Human Growth and Development,1,Alternative Education
HHG4MO,Issues in Human Growth and Development,1,Alternative Education
HHS4CK,Families in Canada,1,Alternative Education
HHS4UK,Families in Canada,1,Alternative Education
HIP4OK,Personal Life Management,1,Alternative Education
HPC3OB,Parenting,2,Alternative Education
HPC3OK,Parenting,1,Alternative Education
HPC3OO,Parenting,1,Alternative Education
HSB4UA,Challenge and Change in Society,1,Alternative Education
HSB4UK,Challenge and Change in Society,1,Alternative Education
HSC4MK,World Cultures,1,Alternative Education
HSE4MK,"Equity, Diversity and Social Justice",1,Alternative Education
HSG3MK,Gender Studies,1,Alternative Education
HSP3UB,"Introduction to Anthropology, Psych",2,Alternative Education
HSP3UK,"Introduction to Anthropology, Psych",1,Alternative Education
HZB3MK,Philosophy,1,Alternative Education
HZT4UK,Philosophy: Questions and Theories,1,Alternative Education
MAP4CA,Foundations for College Mathematics,1,Alternative Education
MAP4CB,Foundations for College Mathematics,2,Alternative Education
MAP4CK,Foundations for College Mathematics,1,Alternative Education
MBF3CK,Foundations for College Mathematics,1,Alternative Education
MBF3CO,Foundations for College Mathematics,1,Alternative Education
MCF3MA,Functions and Applications,1,Alternative Education
MCF3MB,Functions and Applications,2,Alternative Education
MCF3MK,Functions and Applications,1,Alternative Education
MCF3MO,Functions and Applications,1,Alternative Education
MCF3MY,Functions and Applications,1,Alternative Education
MCR3UB,Functions,2,Alternative Education
MCR3UK,Functions,1,Alternative Education
MCR3UO,Functions,1,Alternative Education
MDM4UK,Mathematics and Data Management,1,Alternative Education
MEL3EA,Mathematics for Work and Everyday Life,1,Alternative Education
MEL3EB,Mathematics for Work and Everyday Life,2,Alternative Education
MEL3EK,Mathematics for Work and Everyday Life,1,Alternative Education
MEL3EO,Mathematics for Work and Everyday Life,1,Alternative Education
MEL4EA,Mathematics for Work and Everyday Life,1,Alternative Education
MEL4EB,Mathematics for Work and Everyday Life,2,Alternative Education
MEL4EK,Mathematics for Work and Everyday Life,1,Alternative Education
MEL4EO,Mathematics for Work and Everyday Life,1,Alternative Education
MFM2PA,Foundations of Mathematics,1,Alternative Education
MFM2PB,Foundations of Mathematics,2,Alternative Education
MFM2PK,Foundations of Mathematics,1,Alternative Education
MFM2PO,Foundations of Mathematics,1,Alternative Education
MHF4UA,Advanced Functions,1,Alternative Education
MHF4UK,Advanced Functions,2,Alternative Education
MHF4UO,Advanced Functions,1,Alternative Education
MPM2DA,Principles of Mathematics,1,Alternative Education
MPM2DB,Principles of Mathematics,2,Alternative Education
MPM2DK,Principles of Mathematics,1,Alternative Education
MPM2DO,Principles of Mathematics,1,Alternative Education
MTH1WK,Mathematics,1,Alternative Education
OLC4OA,Ontario Secondary School Literacy,1,Alternative Education
OLC4OB,Ontario Secondary School Literacy,2,Alternative Education
OLC4OK,Ontario Secondary School Literacy,1,Alternative Education
OLC4OO,Ontario Secondary School Literacy,1,Alternative Education
OLC4OY,Ontario Secondary School Literacy,1,Alternative Education
PAF3OK,Personal and Fitness Activities,1,Alternative Education
PAF4OO,Personal and Fitness Activities,1,Alternative Education
PAF4OS,Personal and Fitness Activities,1,Alternative Education
PPL1OB,Healthy Active Living Education,2,Alternative Education
PPL1OO,Healthy Active Living Education,1,Alternative Education
PPL3OK,Healthy Active Living Education,1,Alternative Education
PPL3OO,Healthy Active Living Education,1,Alternative Education
PPZ3CK,Health for Life,1,Alternative Education
PSK4UK,Introductory Kinesiology,1,Alternative Education
QUAD1A,QUAD 1 SEM 1 - A.M.,1,Alternative Education
QUAD1P,QUAD 1 SEM 1 - P.M.,1,Alternative Education
QUAD2A,QUAD 2 SEM 1 - A.M.,1,Alternative Education
QUAD2P,QUAD 2 SEM 1 - P.M.,1,Alternative Education
QUAD3A,QUAD 3 SEM 2 - A.M.,1,Alternative Education
QUAD3P,QUAD 3 SEM 2 - P.M.,1,Alternative Education
QUAD4A,QUAD 4 SEM 2 - A.M.,1,Alternative Education
QUAD4P,QUAD 4 SEM 2 - P.M.,1,Alternative Education
SALHLD,SAL HOLDING CODE,0,Alternative Education
SBI3CB,Biology,2,Alternative Education
SBI3CK,Biology,1,Alternative Education
